t,v
2009-01-03T00:00:00.000Z,50
2009-01-04T00:00:00.000Z,50
2009-01-05T00:00:00.000Z,50
2009-01-06T00:00:00.000Z,50
2009-01-07T00:00:00.000Z,50
2009-01-08T00:00:00.000Z,50
2009-01-09T00:00:00.000Z,750
2009-01-10T00:00:00.000Z,3800
2009-01-11T00:00:00.000Z,8450
2009-01-12T00:00:00.000Z,13150
2009-01-13T00:00:00.000Z,19300
2009-01-14T00:00:00.000Z,25750
2009-01-15T00:00:00.000Z,32050
2009-01-16T00:00:00.000Z,37450
2009-01-17T00:00:00.000Z,42900
2009-01-18T00:00:00.000Z,48250
2009-01-19T00:00:00.000Z,54000
2009-01-20T00:00:00.000Z,59700
2009-01-21T00:00:00.000Z,64800
2009-01-22T00:00:00.000Z,69350
2009-01-23T00:00:00.000Z,73550
2009-01-24T00:00:00.000Z,83600
2009-01-25T00:00:00.000Z,93150
2009-01-26T00:00:00.000Z,97950
2009-01-27T00:00:00.000Z,102800
2009-01-28T00:00:00.000Z,108400
2009-01-29T00:00:00.000Z,114450
2009-01-30T00:00:00.000Z,120300
2009-01-31T00:00:00.000Z,127200
2009-02-01T00:00:00.000Z,132850
2009-02-02T00:00:00.000Z,139250
2009-02-03T00:00:00.000Z,146200
2009-02-04T00:00:00.000Z,152150
2009-02-05T00:00:00.000Z,158450
2009-02-06T00:00:00.000Z,164550
2009-02-07T00:00:00.000Z,171000
2009-02-08T00:00:00.000Z,177600
2009-02-09T00:00:00.000Z,184300
2009-02-10T00:00:00.000Z,190300
2009-02-11T00:00:00.000Z,196950
2009-02-12T00:00:00.000Z,202900
2009-02-13T00:00:00.000Z,209100
2009-02-14T00:00:00.000Z,215900
2009-02-15T00:00:00.000Z,222300
2009-02-16T00:00:00.000Z,228400
2009-02-17T00:00:00.000Z,234250
2009-02-18T00:00:00.000Z,240150
2009-02-19T00:00:00.000Z,246350
2009-02-20T00:00:00.000Z,252450
2009-02-21T00:00:00.000Z,258150
2009-02-22T00:00:00.000Z,264200
2009-02-23T00:00:00.000Z,269600
2009-02-24T00:00:00.000Z,274900
2009-02-25T00:00:00.000Z,280150
2009-02-26T00:00:00.000Z,285500
2009-02-27T00:00:00.000Z,291250
2009-02-28T00:00:00.000Z,296200
2009-03-01T00:00:00.000Z,301450
2009-03-02T00:00:00.000Z,306850
2009-03-03T00:00:00.000Z,312100
2009-03-04T00:00:00.000Z,317300
2009-03-05T00:00:00.000Z,322900
2009-03-06T00:00:00.000Z,328750
2009-03-07T00:00:00.000Z,334200
2009-03-08T00:00:00.000Z,339950
2009-03-09T00:00:00.000Z,345350
2009-03-10T00:00:00.000Z,350700
2009-03-11T00:00:00.000Z,356400
2009-03-12T00:00:00.000Z,362300
2009-03-13T00:00:00.000Z,367950
2009-03-14T00:00:00.000Z,373450
2009-03-15T00:00:00.000Z,379600
2009-03-16T00:00:00.000Z,385650
2009-03-17T00:00:00.000Z,391350
2009-03-18T00:00:00.000Z,397050
2009-03-19T00:00:00.000Z,403150
2009-03-20T00:00:00.000Z,409050
2009-03-21T00:00:00.000Z,411550
2009-03-22T00:00:00.000Z,417500
2009-03-23T00:00:00.000Z,424000
2009-03-24T00:00:00.000Z,429250
2009-03-25T00:00:00.000Z,435100
2009-03-26T00:00:00.000Z,440950
2009-03-27T00:00:00.000Z,446250
2009-03-28T00:00:00.000Z,452200
2009-03-29T00:00:00.000Z,458000
2009-03-30T00:00:00.000Z,464000
2009-03-31T00:00:00.000Z,469500
2009-04-01T00:00:00.000Z,475200
2009-04-02T00:00:00.000Z,480950
2009-04-03T00:00:00.000Z,486750
2009-04-04T00:00:00.000Z,492400
2009-04-05T00:00:00.000Z,498900
2009-04-06T00:00:00.000Z,504350
2009-04-07T00:00:00.000Z,509350
2009-04-08T00:00:00.000Z,514600
2009-04-09T00:00:00.000Z,519550
2009-04-10T00:00:00.000Z,524950
2009-04-11T00:00:00.000Z,530950
2009-04-12T00:00:00.000Z,536850
2009-04-13T00:00:00.000Z,542600
2009-04-14T00:00:00.000Z,548800
2009-04-15T00:00:00.000Z,554450
2009-04-16T00:00:00.000Z,560600
2009-04-17T00:00:00.000Z,566200
2009-04-18T00:00:00.000Z,572500
2009-04-19T00:00:00.000Z,578450
2009-04-20T00:00:00.000Z,584400
2009-04-21T00:00:00.000Z,590550
2009-04-22T00:00:00.000Z,596600
2009-04-23T00:00:00.000Z,600350
2009-04-24T00:00:00.000Z,606100
2009-04-25T00:00:00.000Z,612000
2009-04-26T00:00:00.000Z,617600
2009-04-27T00:00:00.000Z,622800
2009-04-28T00:00:00.000Z,628650
2009-04-29T00:00:00.000Z,635050
2009-04-30T00:00:00.000Z,641600
2009-05-01T00:00:00.000Z,647650
2009-05-02T00:00:00.000Z,653950
2009-05-03T00:00:00.000Z,659250
2009-05-04T00:00:00.000Z,665650
2009-05-05T00:00:00.000Z,672400
2009-05-06T00:00:00.000Z,679150
2009-05-07T00:00:00.000Z,685200
2009-05-08T00:00:00.000Z,690600
2009-05-09T00:00:00.000Z,694500
2009-05-10T00:00:00.000Z,698750
2009-05-11T00:00:00.000Z,704750
2009-05-12T00:00:00.000Z,711250
2009-05-13T00:00:00.000Z,716800
2009-05-14T00:00:00.000Z,723750
2009-05-15T00:00:00.000Z,730550
2009-05-16T00:00:00.000Z,736500
2009-05-17T00:00:00.000Z,742850
2009-05-18T00:00:00.000Z,748750
2009-05-19T00:00:00.000Z,753050
2009-05-20T00:00:00.000Z,759050
2009-05-21T00:00:00.000Z,763150
2009-05-22T00:00:00.000Z,766200
2009-05-23T00:00:00.000Z,767800
2009-05-24T00:00:00.000Z,772800
2009-05-25T00:00:00.000Z,778250
2009-05-26T00:00:00.000Z,784500
2009-05-27T00:00:00.000Z,790450
2009-05-28T00:00:00.000Z,795200
2009-05-29T00:00:00.000Z,800500
2009-05-30T00:00:00.000Z,805950
2009-05-31T00:00:00.000Z,810750
2009-06-01T00:00:00.000Z,814300
2009-06-02T00:00:00.000Z,819850
2009-06-03T00:00:00.000Z,823400
2009-06-04T00:00:00.000Z,826700
2009-06-05T00:00:00.000Z,828200
2009-06-06T00:00:00.000Z,829600
2009-06-07T00:00:00.000Z,830400
2009-06-08T00:00:00.000Z,834500
2009-06-09T00:00:00.000Z,839050
2009-06-10T00:00:00.000Z,843150
2009-06-11T00:00:00.000Z,847600
2009-06-12T00:00:00.000Z,851900
2009-06-13T00:00:00.000Z,855800
2009-06-14T00:00:00.000Z,859400
2009-06-15T00:00:00.000Z,863600
2009-06-16T00:00:00.000Z,867150
2009-06-17T00:00:00.000Z,871100
2009-06-18T00:00:00.000Z,875100
2009-06-19T00:00:00.000Z,879450
2009-06-20T00:00:00.000Z,883350
2009-06-21T00:00:00.000Z,887400
2009-06-22T00:00:00.000Z,891200
2009-06-23T00:00:00.000Z,895000
2009-06-24T00:00:00.000Z,899750
2009-06-25T00:00:00.000Z,903150
2009-06-26T00:00:00.000Z,907650
2009-06-27T00:00:00.000Z,911850
2009-06-28T00:00:00.000Z,914150
2009-06-29T00:00:00.000Z,918300
2009-06-30T00:00:00.000Z,922550
2009-07-01T00:00:00.000Z,926250
2009-07-02T00:00:00.000Z,930400
2009-07-03T00:00:00.000Z,934500
2009-07-04T00:00:00.000Z,938950
2009-07-05T00:00:00.000Z,942900
2009-07-06T00:00:00.000Z,947100
2009-07-07T00:00:00.000Z,950550
2009-07-08T00:00:00.000Z,954250
2009-07-09T00:00:00.000Z,958550
2009-07-10T00:00:00.000Z,962600
2009-07-11T00:00:00.000Z,966750
2009-07-12T00:00:00.000Z,970600
2009-07-13T00:00:00.000Z,974500
2009-07-14T00:00:00.000Z,977950
2009-07-15T00:00:00.000Z,980200
2009-07-16T00:00:00.000Z,983750
2009-07-17T00:00:00.000Z,986100
2009-07-18T00:00:00.000Z,986300
2009-07-19T00:00:00.000Z,989800
2009-07-20T00:00:00.000Z,993300
2009-07-21T00:00:00.000Z,997400
2009-07-22T00:00:00.000Z,1000400
2009-07-23T00:00:00.000Z,1004200
2009-07-24T00:00:00.000Z,1007850
2009-07-25T00:00:00.000Z,1009450
2009-07-26T00:00:00.000Z,1010500
2009-07-27T00:00:00.000Z,1014200
2009-07-28T00:00:00.000Z,1016250
2009-07-29T00:00:00.000Z,1017200
2009-07-30T00:00:00.000Z,1017950
2009-07-31T00:00:00.000Z,1018800
2009-08-01T00:00:00.000Z,1020200
2009-08-02T00:00:00.000Z,1021350
2009-08-03T00:00:00.000Z,1021950
2009-08-04T00:00:00.000Z,1026000
2009-08-05T00:00:00.000Z,1030350
2009-08-06T00:00:00.000Z,1034850
2009-08-07T00:00:00.000Z,1038850
2009-08-08T00:00:00.000Z,1042850
2009-08-09T00:00:00.000Z,1047900
2009-08-10T00:00:00.000Z,1051650
2009-08-11T00:00:00.000Z,1055150
2009-08-12T00:00:00.000Z,1058300
2009-08-13T00:00:00.000Z,1062550
2009-08-14T00:00:00.000Z,1065700
2009-08-15T00:00:00.000Z,1067000
2009-08-16T00:00:00.000Z,1067950
2009-08-17T00:00:00.000Z,1068800
2009-08-18T00:00:00.000Z,1069300
2009-08-19T00:00:00.000Z,1070200
2009-08-20T00:00:00.000Z,1071300
2009-08-21T00:00:00.000Z,1072000
2009-08-22T00:00:00.000Z,1072350
2009-08-23T00:00:00.000Z,1073100
2009-08-24T00:00:00.000Z,1073850
2009-08-25T00:00:00.000Z,1076350
2009-08-26T00:00:00.000Z,1078750
2009-08-27T00:00:00.000Z,1080200
