Time,sum(Coindays destroyed – Blocks) – Bitcoin
03.01.2009,0
09.01.2009,0
10.01.2009,0
11.01.2009,0
12.01.2009,149.15856481481
13.01.2009,0
14.01.2009,76.674247685185
15.01.2009,674.714699074074
16.01.2009,408.68171296297
17.01.2009,0
18.01.2009,336.08043981481
19.01.2009,3080.1064814815
20.01.2009,1507.1290509259
21.01.2009,352.49016203704
22.01.2009,1967.4814814815
23.01.2009,1635.07175925926
24.01.2009,2365.3420138889
25.01.2009,88.846064814815
26.01.2009,3058.6903935185
27.01.2009,281.22800925926
28.01.2009,0
29.01.2009,1498.5266203704
30.01.2009,0
31.01.2009,12310.69849537
01.02.2009,115.09664351852
02.02.2009,868.1099537037
03.02.2009,880.380787037045
04.02.2009,0
05.02.2009,0
06.02.2009,0
07.02.2009,10986.8449074074
08.02.2009,7863.287037037
09.02.2009,13623.140046296
10.02.2009,0
11.02.2009,1198.41475462963
12.02.2009,0
13.02.2009,0
14.02.2009,0
15.02.2009,3692.6521990741200
16.02.2009,6324.3107638889
17.02.2009,0
18.02.2009,0
19.02.2009,2564.7228009259
20.02.2009,0
21.02.2009,0
22.02.2009,1980.25868055551
23.02.2009,0
24.02.2009,0
25.02.2009,0
26.02.2009,0
27.02.2009,9944.0086805556
28.02.2009,1336.947337963
01.03.2009,0
02.03.2009,0
03.03.2009,1611.0584490741
04.03.2009,5074.9936342593
05.03.2009,932.19212962963
06.03.2009,0
07.03.2009,0
08.03.2009,5567.3576388889
09.03.2009,0
10.03.2009,0
11.03.2009,0
12.03.2009,547.55034722222
13.03.2009,2762.8773148148
14.03.2009,0
15.03.2009,0
16.03.2009,19224.590856481
17.03.2009,0
18.03.2009,2777.2488425926
19.03.2009,0
20.03.2009,1525.2013888889
21.03.2009,0
22.03.2009,4037.9311342593
23.03.2009,0
24.03.2009,0
25.03.2009,0
26.03.2009,5804.4282407407
27.03.2009,0
28.03.2009,4746.9675925926
29.03.2009,0
30.03.2009,0
31.03.2009,5109.8796296296
01.04.2009,0
02.04.2009,0
03.04.2009,0
04.04.2009,0
05.04.2009,3399.0196759259
06.04.2009,0
07.04.2009,0
08.04.2009,0
09.04.2009,0
10.04.2009,0
11.04.2009,957.32233796296
12.04.2009,3790.7355324073600
13.04.2009,0
14.04.2009,0
15.04.2009,0
16.04.2009,0
17.04.2009,0
18.04.2009,2918.5584490740900
